Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
38,Javier Avilés\Javier-Aviles,es ESP,FWMF,Leganés,21,1997,1.9,4,2.32,3,0,1,0,0,1,0.58,0,0,1,0,0,0,Matches
39,Chidozie Awaziem\Chidozie-Awaziem,ng NGA,DF,Leganés,22,1997,22.2,10,0.45,8,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
40,Ramon Azeez\Ramon-Azeez,ng NGA,MF,Granada,26,1992,14.1,13,0.93,10,0,0,2,1,1,0.07,1,0,0,0,0,0,Matches
41,Iddrisu Baba\Iddrisu-Baba,gh GHA,MF,Mallorca,23,1996,31.3,24,0.79,23,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches
42,Carlos Bacca\Carlos-Bacca,co COL,FWMF,Villarreal,32,1986,7.6,12,1.57,7,0,3,0,2,2,0.26,1,0,0,0,1,0,Matches
43,Alejandro Baena\Alejandro-Baena,es ESP,MF,Villarreal,18,2001,0.2,1,6.00,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
44,Gareth Bale\Gareth-Bale,wal WAL,FWMF,Real Madrid,30,1989,12.1,33,2.73,21,2,5,3,2,7,0.58,6,0,0,1,0,0,Matches
45,Mikel Balenziaga\Mikel-Balenziaga,es ESP,DF,Athletic Club,31,1988,5.8,1,0.17,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
46,Éver Banega\Ever-Banega,ar ARG,MF,Sevilla,31,1988,27.5,113,4.16,66,36,3,2,6,12,0.44,7,3,1,0,1,0,Matches
47,Federico Barba\Federico-Barba,it ITA,DF,Valladolid,25,1993,5.0,3,0.60,2,0,0,0,1,1,0.20,1,0,0,0,0,0,Matches
48,Enis Bardhi\Enis-Bardhi,mk MKD,MF,Levante,24,1995,23.5,62,2.74,38,11,6,5,2,8,0.35,4,0,1,2,1,0,Matches
49,Kike Barja\Kike-Barja,es ESP,MFFW,Osasuna,22,1997,2.6,7,2.70,6,0,1,0,0,1,0.39,1,0,0,0,0,0,Matches
50,Antonio Barragán\Antonio-Barragan,es ESP,DF,Betis,32,1987,6.1,18,2.94,15,1,2,0,0,3,0.49,2,0,1,0,0,0,Matches
51,Ander Barrenetxea\Ander-Barrenetxea,es ESP,FWMF,Real Sociedad,17,2001,4.4,17,3.93,15,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
52,Marc Bartra\Marc-Bartra,es ESP,DFMF,Betis,28,1991,27.0,12,0.44,10,0,0,2,0,1,0.04,0,0,0,1,0,0,Matches
53,Gil Bastião Dias\Gil-Bastiao-Dias,pt POR,DFFW,Granada,22,1996,3.6,10,2.77,7,1,1,1,0,1,0.28,1,0,0,0,0,0,Matches
54,Fran Beltrán\Fran-Beltran,es ESP,MF,Celta Vigo,20,1999,19.4,28,1.48,22,4,0,2,0,0,0.00,0,0,0,0,0,0,Matches
55,Hatem Ben Arfa\Hatem-Ben-Arfa,fr FRA,MFFW,Valladolid,32,1987,1.8,3,1.70,2,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
56,Karim Benzema\Karim-Benzema,fr FRA,FW,Real Madrid,31,1987,34.2,118,3.45,104,0,11,2,1,17,0.50,15,0,2,0,0,0,Matches
