Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
375,Domingos Quina\Domingos-Quina,pt POR,MF,Watford,19,1999,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
376,Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Bournemouth,21,1998,35.0,2,0.06,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
377,Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,32,1987,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
378,Marcus Rashford\Marcus-Rashford,eng ENG,FW,Manchester Utd,21,1997,27.4,90,3.28,62,2,11,4,10,20,0.73,11,0,4,0,4,1,Matches
379,Nathan Redmond\Nathan-Redmond,eng ENG,MFFW,Southampton,25,1994,28.7,84,2.93,59,0,12,4,9,4,0.14,3,0,0,0,1,0,Matches
380,Pepe Reina\Pepe-Reina,es ESP,GK,Aston Villa,36,1982,10.0,2,0.20,2,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
381,Declan Rice\Declan-Rice,eng ENG,MF,West Ham,20,1999,36.0,41,1.14,38,0,2,1,0,5,0.14,4,0,0,1,0,0,Matches
382,Richarlison\Richarlison,br BRA,FW,Everton,22,1997,32.1,77,2.40,45,0,10,7,14,10,0.31,5,0,2,1,1,1,Matches
383,Diego Rico\Diego-Rico,es ESP,DF,Bournemouth,26,1993,23.9,45,1.88,20,24,0,0,0,6,0.25,4,1,0,0,0,1,Matches
384,Jaïro Riedewald\Jairo-Riedewald,nl NED,DFMF,Crystal Palace,22,1996,8.1,5,0.62,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
385,Matt Ritchie\Matt-Ritchie,sco SCO,DFMF,Newcastle Utd,29,1989,12.6,37,2.93,12,23,0,1,1,2,0.16,2,0,0,0,0,0,Matches
386,Roberto\Roberto,es ESP,GK,West Ham,33,1986,7.6,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
387,Patrick Roberts\Patrick-Roberts,eng ENG,MFFW,Norwich City,22,1997,0.3,1,3.46,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
388,Andrew Robertson\Andrew-Robertson,sco SCO,DF,Liverpool,25,1994,32.6,100,3.07,85,11,3,1,0,17,0.52,14,1,2,0,0,0,Matches
389,Callum Robinson\Callum-Robinson,ie IRL,FW,Sheffield Utd,24,1995,7.5,11,1.46,9,0,0,1,0,2,0.27,1,0,0,0,0,1,Matches
390,Jack Robinson\Jack-Robinson,eng ENG,DF,Sheffield Utd,25,1993,4.6,4,0.87,3,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
391,Rodri\Rodri,es ESP,MF,Manchester City,23,1996,26.1,58,2.22,51,0,2,2,3,3,0.11,2,0,0,1,0,0,Matches
392,Jay Rodriguez\Jay-Rodriguez,eng ENG,FW,Burnley,30,1989,20.5,29,1.41,20,0,2,4,3,5,0.24,4,0,0,1,0,0,Matches
