Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,OG,Matches
304,Thomas Müller\Thomas-Muller,de GER,MFFW,Bayern Munich,29,1989,25.1,131,5.23,117,3,2,5,4,26,1.04,24,1,0,1,0,0,Matches
305,Torben Müsel\Torben-Musel,de GER,FW,M'gladbach,20,1999,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
306,Jamal Musiala\Jamal-Musiala,eng ENG,MF,Bayern Munich,16,2003,0.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
307,Yvon Mvogo\Yvon-Mvogo,ch SUI,GK,RB Leipzig,25,1994,2.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
308,Phillipp Mwene\Phillipp-Mwene,at AUT,DF,Mainz 05,25,1994,3.5,2,0.57,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
309,Obite N'Dicka\Obite-NDicka,fr FRA,DF,Eint Frankfurt,19,1999,19.1,18,0.94,17,0,1,0,0,2,0.10,2,0,0,0,0,0,Matches
310,Matija Nastasić\Matija-Nastasic,rs SRB,DF,Schalke 04,26,1993,15.2,4,0.26,2,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
311,Manuel Neuer\Manuel-Neuer,de GER,GK,Bayern Munich,33,1986,33.0,2,0.06,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
312,Florian Neuhaus\Florian-Neuhaus,de GER,MF,M'gladbach,22,1997,26.2,81,3.09,57,5,7,7,5,6,0.23,5,0,1,0,0,0,Matches
313,Jessic Ngankam\Jessic-Ngankam,de GER,FWMF,Hertha BSC,19,2000,0.9,4,4.24,3,0,1,0,0,2,2.12,1,0,1,0,0,0,Matches
314,Moussa Niakhate\Moussa-Niakhate,fr FRA,DF,Mainz 05,23,1996,33.0,25,0.76,21,2,0,1,1,3,0.09,3,0,0,0,0,0,Matches
315,Moritz Nicolas\Moritz-Nicolas,de GER,GK,Union Berlin,21,1997,1.0,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
316,Florian Niederlechner\Florian-Niederlechner,de GER,FWMF,Augsburg,28,1990,30.2,71,2.35,40,1,12,6,12,13,0.43,6,0,4,1,2,0,Matches
317,Christopher Nkunku\Christopher-Nkunku,fr FRA,MFFW,RB Leipzig,21,1997,21.4,105,4.91,60,29,7,3,6,21,0.98,12,5,1,2,1,0,Matches
318,Lukas Nmecha\Lukas-Nmecha,de GER,MFFW,Wolfsburg,20,1998,1.5,6,4.12,3,0,1,0,2,0,0.00,0,0,0,0,0,0,Matches
319,Håvard Nordtveit\Havard-Nordtveit,no NOR,DF,Hoffenheim,29,1990,7.8,6,0.77,4,0,1,1,0,2,0.26,1,0,1,0,0,0,Matches
320,Alexander Nübel\Alexander-Nubel,de GER,GK,Schalke 04,22,1996,25.7,3,0.12,0,3,0,0,0,0,0.00,0,0,0,0,0,0,Matches
321,Kasim Nuhu\Kasim-Nuhu,gh GHA,DF,Düsseldorf,24,1995,11.1,7,0.63,5,0,0,2,0,2,0.18,1,0,0,1,0,0,Matches
322,Bastian Oczipka\Bastian-Oczipka,de GER,DF,Schalke 04,30,1989,33.5,69,2.06,41,25,3,0,0,13,0.39,9,3,1,0,0,0,Matches
323,Álvaro Odriozola\Alvaro-Odriozola,es ESP,DF,Bayern Munich,23,1995,1.7,5,2.96,5,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
324,Kelvin Ofori\Kelvin-Ofori,gh GHA,MFFW,Düsseldorf,18,2001,0.4,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
325,Kwasi Okyere Wriedt\Kwasi-Okyere-Wriedt,gh GHA,FW,Bayern Munich,25,1994,0.2,0,0.00,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
326,Cauly Oliveira Souza\Cauly-Oliveira-Souza,br BRA,MFFW,Paderborn 07,23,1995,8.0,22,2.76,15,5,1,1,0,1,0.13,1,0,0,0,0,0,Matches
327,Dani Olmo\Dani-Olmo,es ESP,MFFW,RB Leipzig,21,1998,8.3,26,3.13,20,2,1,2,1,2,0.24,0,1,1,0,0,0,Matches
328,Karim Onisiwo\Karim-Onisiwo,at AUT,FW,Mainz 05,27,1992,19.2,56,2.92,32,1,14,3,6,9,0.47,6,0,0,2,1,0,Matches
329,Willi Orban\Willi-Orban,hu HUN,DF,RB Leipzig,26,1992,9.5,11,1.16,10,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
330,Yuya Osako\Yuya-Osako,jp JPN,FWMF,Werder Bremen,29,1990,20.5,63,3.07,48,1,5,5,4,5,0.24,2,0,1,1,1,0,Matches
331,Paulo Otávio\Paulo-Otavio,br BRA,DF,Wolfsburg,24,1994,4.2,15,3.55,11,2,1,0,1,1,0.24,1,0,0,0,0,0,Matches
332,Reece Oxford\Reece-Oxford,eng ENG,MF,Augsburg,20,1998,4.2,2,0.48,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
333,Levin Öztunalı\Levin-Oztunali,de GER,MFFW,Mainz 05,23,1996,19.8,61,3.09,45,1,6,4,5,6,0.30,3,0,2,0,1,0,Matches
