,xa,pens_made,assists_per90,cards_yellow,goals_assists_pens_per90,squad,nationality,pens_att,games,npxg,goals_per90,minutes,goals,xg_per90,player,assists,age,cards_red,goals_assists_per90,games_starts,npxg_per90,xa_per90,xg,position,goals_pens_per90
107,0.1,0,0.18,4,0.18,Tottenham,eng ENG,0,15,0.9,0.00,984,0,0.09,Eric Dier,2,25,0,0.18,11,0.09,0.01,0.9,"MF,DF",0.00
108,4.6,0,0.20,2,0.20,Everton,fr FRA,0,26,1.1,0.00,"2,241",0,0.04,Lucas Digne,5,26,0,0.20,26,0.04,0.18,1.1,DF,0.00
109,1.0,0,0.03,1,0.17,Liverpool,nl NED,0,29,2.0,0.14,"2,610",4,0.07,Virgil van Dijk,1,28,0,0.17,29,0.07,0.03,2.0,DF,0.14
110,0.3,0,0.00,8,0.13,West Ham,fr FRA,0,24,1.4,0.13,"2,046",3,0.06,Issa Diop,0,22,0,0.13,23,0.06,0.01,1.4,DF,0.13
111,1.4,0,0.19,4,0.39,Southampton,ml MLI,0,18,2.4,0.19,928,2,0.23,Moussa Djenepo,2,21,1,0.39,10,0.23,0.14,2.4,"MF,DF",0.19
112,0.9,0,0.08,1,0.24,Wolves,ie IRL,0,28,4.7,0.16,"2,239",4,0.19,Matt Doherty,2,27,0,0.24,25,0.19,0.03,4.7,DF,0.16
113,2.6,0,0.07,8,0.21,Watford,fr FRA,0,29,4.6,0.14,"2,519",4,0.16,Abdoulaye Doucouré,2,26,0,0.21,29,0.16,0.09,4.6,MF,0.14
114,0.0,0,0.00,0,0.00,Burnley,eng ENG,0,1,0.0,0.00,58,0,0.00,Danny Drinkwater,0,29,0,0.00,1,0.00,0.00,0.0,MF,0.00
115,0.0,0,0.00,1,0.00,Aston Villa,eng ENG,0,4,0.1,0.00,259,0,0.04,Danny Drinkwater,0,29,0,0.00,4,0.04,0.01,0.1,MF,0.00
116,0.4,0,0.00,0,0.28,Norwich City,ch SUI,0,15,2.4,0.28,316,1,0.70,Josip Drmić,0,26,0,0.28,1,0.70,0.11,2.4,"FW,MF",0.28
117,0.0,0,0.00,0,0.00,Newcastle Utd,sk SVK,0,29,0.0,0.00,"2,610",0,0.00,Martin Dúbravka,0,30,0,0.00,29,0.00,0.00,0.0,GK,0.00
118,1.0,0,0.00,0,0.00,Norwich City,sk SVK,0,8,0.7,0.00,588,0,0.11,Ondrej Duda,0,24,0,0.00,7,0.11,0.15,0.7,MF,0.00
119,0.0,0,0.00,1,0.08,Brighton,ie IRL,0,15,1.5,0.08,"1,075",1,0.13,Shane Duffy,0,27,0,0.08,11,0.13,0.00,1.5,DF,0.08
120,0.1,0,0.00,2,0.00,Newcastle Utd,wal WAL,0,16,0.0,0.00,"1,228",0,0.00,Paul Dummett,0,27,0,0.00,14,0.00,0.01,0.0,DF,0.00
121,0.9,0,0.11,9,0.21,Brighton,eng ENG,0,28,3.2,0.11,"2,520",3,0.12,Lewis Dunk,3,27,0,0.21,28,0.12,0.03,3.2,DF,0.11
122,0.0,0,0.00,3,0.00,Manchester City,br BRA,0,26,0.0,0.00,"2,261",0,0.00,Ederson,0,25,1,0.00,26,0.00,0.00,0.0,GK,0.00
123,0.1,0,0.00,2,0.00,Sheffield Utd,ie IRL,0,28,1.5,0.00,"2,508",0,0.05,John Egan,0,26,0,0.00,28,0.05,0.00,1.5,DF,0.00
124,0.0,0,0.00,0,0.00,Liverpool,eng ENG,0,1,0.0,0.00,1,0,0.00,Harvey Elliot,0,,0,0.00,0,0.00,0.00,0.0,FW,0.00
125,1.2,0,0.12,0,0.12,Aston Villa,eg EGY,0,13,0.2,0.00,782,0,0.03,Ahmed Elmohamady,1,31,0,0.12,8,0.03,0.14,0.2,DF,0.00
126,0.1,0,0.00,1,0.06,Aston Villa,be BEL,0,17,0.9,0.06,"1,447",1,0.05,Björn Engels,0,24,0,0.06,15,0.05,0.01,0.9,DF,0.06
127,2.0,0,0.16,5,0.33,Tottenham,dk DEN,0,20,2.0,0.16,"1,097",2,0.16,Christian Eriksen,2,27,0,0.33,10,0.16,0.17,2.0,"MF,FW",0.16
128,0.4,0,0.03,5,0.07,Leicester City,nir NIR,0,30,2.1,0.03,"2,664",1,0.07,Jonny Evans,1,31,0,0.07,30,0.07,0.01,2.1,DF,0.03
129,0.0,0,0.00,1,0.00,West Ham,pl POL,0,17,0.0,0.00,"1,397",0,0.00,Łukasz Fabiański,0,34,0,0.00,17,0.00,0.00,0.0,GK,0.00
130,1.2,0,0.06,5,0.12,Liverpool,br BRA,0,20,0.2,0.06,"1,449",1,0.01,Fabinho,1,25,0,0.12,15,0.01,0.08,0.2,MF,0.06
131,0.0,0,0.00,0,0.00,Norwich City,de GER,0,1,0.0,0.00,21,0,0.00,Ralf Fährmann,0,30,0,0.00,1,0.00,0.00,0.0,GK,0.00
132,1.2,0,0.00,5,0.00,Watford,es ESP,0,20,0.1,0.00,"1,602",0,0.01,Kiko Femenía,0,28,0,0.00,18,0.01,0.06,0.1,DF,0.00
133,1.1,2,0.50,1,0.67,Manchester Utd,pt POR,2,6,1.2,0.50,536,3,0.46,Bruno Fernandes,3,24,0,1.01,6,0.21,0.18,2.8,MF,0.17
134,0.1,0,0.00,0,0.00,Tottenham,pt POR,0,5,0.1,0.00,65,0,0.08,Gedson Fernandes,0,20,0,0.00,0,0.08,0.20,0.1,"MF,DF",0.00
135,0.3,0,0.05,4,0.15,Newcastle Utd,ar ARG,0,23,1.4,0.10,"1,810",2,0.07,Federico Fernández,1,30,0,0.15,20,0.07,0.02,1.4,DF,0.10
136,0.3,0,0.00,8,0.00,Manchester City,br BRA,0,24,0.8,0.00,"2,017",0,0.04,Fernandinho,0,34,1,0.00,22,0.04,0.01,0.8,DF,0.00
137,5.0,0,0.26,0,0.56,Liverpool,br BRA,0,29,12.2,0.30,"2,410",8,0.46,Roberto Firmino,7,27,0,0.56,27,0.46,0.19,12.2,"FW,MF",0.30
138,3.2,0,0.08,7,0.29,Sheffield Utd,sco SCO,0,25,3.4,0.21,"2,188",5,0.14,John Fleck,2,27,0,0.29,25,0.14,0.13,3.4,MF,0.21
139,0.9,0,0.23,0,0.46,Manchester City,eng ENG,0,15,0.8,0.23,389,1,0.19,Phil Foden,1,19,0,0.46,3,0.19,0.22,0.8,"MF,FW",0.23
140,2.0,0,0.29,2,0.41,West Ham,es ESP,0,28,2.6,0.12,"1,545",2,0.15,Pablo Fornals,5,23,0,0.41,16,0.15,0.12,2.6,MF,0.12
141,0.0,0,0.00,1,0.00,Watford,eng ENG,0,30,0.1,0.00,"2,700",0,0.00,Ben Foster,0,36,0,0.00,30,0.00,0.00,0.1,GK,0.00
142,0.0,0,0.00,0,0.00,Watford,fr FRA,0,3,0.0,0.00,59,0,0.00,Dimitri Foulquier,0,26,0,0.00,1,0.00,0.03,0.0,"MF,DF",0.00
143,0.0,0,0.00,1,0.00,Tottenham,ar ARG,0,4,0.0,0.00,68,0,0.00,Juan Foyth,0,21,0,0.00,1,0.00,0.03,0.0,DF,0.00
144,0.4,0,0.00,5,0.00,Bournemouth,eng ENG,0,15,0.2,0.00,969,0,0.02,Simon Francis,0,34,1,0.00,10,0.02,0.03,0.2,DF,0.00
145,4.0,0,0.17,2,0.22,Bournemouth,sco SCO,0,28,3.3,0.04,"2,067",1,0.14,Ryan Fraser,4,25,0,0.22,21,0.14,0.18,3.3,"MF,FW",0.04
146,2.7,0,0.00,7,0.00,Manchester Utd,br BRA,0,26,1.7,0.00,"2,091",0,0.07,Fred,0,26,0,0.00,23,0.07,0.12,1.7,MF,0.00
147,1.5,0,0.11,5,0.11,West Ham,eng ENG,0,21,0.0,0.00,"1,697",0,0.00,Ryan Fredericks,2,26,0,0.11,19,0.00,0.08,0.0,DF,0.00
148,0.3,0,0.00,2,0.00,Sheffield Utd,eng ENG,0,10,0.0,0.00,348,0,0.01,Luke Freeman,0,27,0,0.00,3,0.01,0.07,0.0,MF,0.00
149,0.1,0,0.00,0,0.00,Leicester City,at AUT,0,8,0.1,0.00,634,0,0.02,Christian Fuchs,0,33,0,0.00,7,0.02,0.01,0.1,DF,0.00
150,0.0,0,0.00,0,0.00,Manchester City,es ESP,0,7,0.0,0.00,362,0,0.00,Eric García,0,18,0,0.00,3,0.00,0.00,0.0,DF,0.00
151,0.0,0,0.00,0,0.00,Manchester Utd,eng ENG,0,1,0.0,0.00,9,0,0.00,James Garner,0,18,0,0.00,0,0.00,0.00,0.0,MF,0.00
152,0.2,0,0.23,1,0.23,Newcastle Utd,eng ENG,0,12,2.4,0.00,384,0,0.55,Dwight Gayle,1,28,0,0.23,4,0.55,0.05,2.4,FW,0.00
153,0.4,0,0.00,1,0.00,Tottenham,ar ARG,0,18,0.0,0.00,"1,613",0,0.00,Paulo Gazzaniga,0,27,0,0.00,17,0.00,0.02,0.0,GK,0.00
154,0.0,0,0.00,0,0.00,Everton,ci CIV,0,2,0.0,0.00,136,0,0.00,Jean-Philippe Gbamin,0,23,0,0.00,1,0.00,0.00,0.0,MF,0.00
155,0.0,0,0.00,2,0.00,Manchester Utd,es ESP,0,30,0.0,0.00,"2,700",0,0.00,David de Gea,0,28,0,0.00,30,0.00,0.00,0.0,GK,0.00
156,2.5,1,0.21,3,0.36,Aston Villa,nl NED,1,26,4.7,0.21,"1,743",4,0.28,Anwar El Ghazi,4,24,0,0.41,22,0.25,0.13,5.5,"FW,MF",0.15
157,0.1,0,0.00,0,0.00,Wolves,eng ENG,0,5,0.1,0.00,126,0,0.06,Morgan Gibbs-White,0,19,0,0.00,1,0.06,0.06,0.1,"MF,FW",0.00
158,0.1,0,0.00,0,0.00,Chelsea,sco SCO,0,3,0.1,0.00,101,0,0.05,Billy Gilmour,0,18,0,0.00,1,0.05,0.07,0.1,MF,0.00
159,0.8,0,0.00,0,0.41,Chelsea,fr FRA,0,9,1.9,0.41,441,2,0.38,Olivier Giroud,0,32,0,0.41,5,0.38,0.17,1.9,FW,0.41
160,0.0,0,0.00,2,0.00,Norwich City,eng ENG,0,22,0.5,0.00,"1,924",0,0.03,Ben Godfrey,0,21,1,0.00,22,0.03,0.00,0.5,DF,0.00
161,0.4,0,0.00,5,0.00,Everton,pt POR,0,11,0.2,0.00,787,0,0.03,André Gomes,0,26,0,0.00,9,0.03,0.05,0.2,MF,0.00
162,0.2,0,0.00,0,0.00,Manchester Utd,eng ENG,0,2,0.0,0.00,21,0,0.00,Angel Gomes,0,18,0,0.00,0,0.00,0.66,0.0,MF,0.00
163,0.1,0,0.00,3,0.00,Liverpool,eng ENG,0,19,0.0,0.00,"1,281",0,0.00,Joe Gomez,0,22,0,0.00,14,0.00,0.01,0.0,DF,0.00
164,0.0,0,0.00,0,0.00,Everton,eng ENG,0,2,0.2,0.00,60,0,0.23,Anthony Gordon,0,18,0,0.00,0,0.23,0.00,0.2,"MF,FW",0.00
165,0.3,0,0.10,1,0.31,Bournemouth,eng ENG,0,16,1.6,0.20,884,2,0.16,Dan Gosling,1,29,0,0.31,10,0.16,0.03,1.6,MF,0.20
166,1.7,0,0.00,1,0.25,Watford,eng ENG,0,20,2.8,0.25,724,2,0.35,Andre Gray,0,28,0,0.25,7,0.35,0.21,2.8,FW,0.25
167,0.9,0,0.40,1,0.60,Leicester City,eng ENG,1,15,1.2,0.20,447,1,0.39,Demarai Gray,2,23,0,0.60,2,0.24,0.17,1.9,"MF,FW",0.20
168,5.3,0,0.22,7,0.48,Aston Villa,eng ENG,1,27,4.7,0.26,"2,423",7,0.20,Jack Grealish,6,23,0,0.48,27,0.18,0.20,5.5,"FW,MF",0.26
169,0.3,0,0.00,0,0.65,Manchester Utd,eng ENG,0,23,2.2,0.65,689,5,0.29,Mason Greenwood,0,17,0,0.65,4,0.29,0.04,2.2,"FW,MF",0.65
170,0.1,0,0.00,0,0.00,Bournemouth,nl NED,0,10,0.7,0.00,454,0,0.15,Arnaut Groeneveld,0,22,0,0.00,4,0.15,0.03,0.7,MF,0.00
171,5.0,0,0.23,2,0.35,Brighton,de GER,0,24,1.8,0.12,"1,558",2,0.11,Pascal Groß,4,28,0,0.35,19,0.11,0.30,1.8,"MF,FW",0.12
172,0.0,0,0.00,1,0.00,Crystal Palace,es ESP,0,28,0.0,0.00,"2,520",0,0.00,Vicente Guaita,0,32,0,0.00,28,0.00,0.00,0.0,GK,0.00
173,1.1,0,0.05,6,0.05,Arsenal,fr FRA,0,24,0.6,0.00,"1,748",0,0.03,Mattéo Guendouzi,1,20,0,0.05,19,0.03,0.06,0.6,MF,0.00
174,1.4,0,0.09,7,0.09,Aston Villa,fr FRA,0,23,0.3,0.00,"1,900",0,0.01,Frederic Guilbert,2,24,0,0.09,21,0.01,0.07,0.3,DF,0.00
175,2.6,1,0.05,7,0.11,Manchester City,de GER,2,26,2.9,0.11,"1,683",2,0.24,İlkay Gündoğan,1,28,0,0.16,18,0.16,0.14,4.5,MF,0.05
176,0.0,0,0.00,0,0.00,Southampton,eng ENG,0,10,0.0,0.00,900,0,0.00,Angus Gunn,0,23,0,0.00,10,0.00,0.00,0.0,GK,0.00
177,1.9,0,0.04,1,0.34,West Ham,fr FRA,0,27,7.0,0.29,"2,147",7,0.30,Sébastien Haller,1,25,0,0.34,24,0.30,0.08,7.0,FW,0.29
178,0.0,0,0.00,4,0.00,Norwich City,sco SCO,0,15,0.5,0.00,"1,262",0,0.04,Grant Hanley,0,27,0,0.00,14,0.04,0.00,0.5,DF,0.00
179,0.2,0,0.00,2,0.00,Aston Villa,eng ENG,0,12,1.1,0.00,"1,080",0,0.09,Kortney Hause,0,24,0,0.00,12,0.09,0.02,1.1,DF,0.00
180,1.5,0,0.05,4,0.09,Newcastle Utd,eng ENG,0,24,0.9,0.05,"1,966",1,0.04,Isaac Hayden,1,24,1,0.09,23,0.04,0.07,0.9,MF,0.05
181,0.0,0,0.00,0,0.00,Aston Villa,eng ENG,0,20,0.0,0.00,"1,794",0,0.00,Tom Heaton,0,33,0,0.00,20,0.00,0.00,0.0,GK,0.00
182,0.0,0,0.00,2,0.00,Sheffield Utd,eng ENG,0,28,0.0,0.00,"2,520",0,0.00,Dean Henderson,0,22,0,0.00,28,0.00,0.00,0.0,GK,0.00
183,2.9,0,0.24,1,0.38,Liverpool,eng ENG,0,25,1.1,0.14,"1,886",3,0.05,Jordan Henderson,5,29,0,0.38,22,0.05,0.14,1.1,MF,0.14
184,0.8,0,0.09,8,0.19,Burnley,ie IRL,0,24,1.7,0.09,"1,931",2,0.08,Jeff Hendrick,2,27,0,0.19,22,0.08,0.04,1.7,MF,0.09
185,0.0,0,0.00,0,0.00,Crystal Palace,wal WAL,0,2,0.0,0.00,180,0,0.00,Wayne Hennessey,0,32,0,0.00,2,0.00,0.00,0.0,GK,0.00
186,0.0,0,0.00,0,0.84,West Ham,mx MEX,0,2,0.7,0.84,107,1,0.62,Javier Hernández,0,31,0,0.84,1,0.62,0.00,0.7,FW,0.84
187,0.6,0,0.11,0,0.23,Norwich City,cu CUB,0,18,1.1,0.11,794,1,0.13,Onel Hernández,1,26,0,0.23,7,0.13,0.07,1.1,"FW,MF",0.11
188,4.9,0,0.34,0,0.79,Tottenham,kr KOR,1,22,6.4,0.44,"1,833",9,0.36,Son Heung-min,7,27,2,0.79,21,0.32,0.24,7.3,FW,0.44
189,0.0,0,0.00,0,0.00,Arsenal,eng ENG,0,3,0.0,0.00,176,0,0.00,Rob Holding,0,23,0,0.00,2,0.00,0.00,0.0,"DF,FW",0.00
190,0.7,0,0.00,5,0.00,Watford,gr GRE,0,13,0.4,0.00,"1,008",0,0.04,José Holebas,0,35,0,0.00,11,0.04,0.07,0.4,DF,0.00
191,0.5,0,0.16,4,0.16,Everton,eng ENG,0,22,2.2,0.00,"1,734",0,0.12,Mason Holgate,3,22,0,0.16,19,0.12,0.03,2.2,DF,0.00
192,0.0,0,0.00,0,0.00,West Ham,eng ENG,0,2,0.0,0.00,33,0,0.10,Nathan Holland,0,21,0,0.00,0,0.10,0.00,0.0,MF,0.00
193,3.8,0,0.17,4,0.43,Aston Villa,ie IRL,0,19,1.2,0.26,"1,036",3,0.10,Conor Hourihane,2,28,0,0.43,12,0.10,0.33,1.2,MF,0.26
194,2.3,0,0.46,1,0.58,Chelsea,eng ENG,0,17,2.0,0.12,777,1,0.23,Callum Hudson-Odoi,4,18,0,0.58,7,0.23,0.27,2.0,FW,0.12
195,0.8,0,0.06,4,0.11,Watford,eng ENG,0,22,2.4,0.06,"1,600",1,0.13,Will Hughes,1,24,0,0.11,19,0.13,0.05,2.4,MF,0.06
196,1.8,0,0.04,5,0.04,Southampton,dk DEN,0,29,2.3,0.00,"2,538",0,0.08,Pierre Højbjerg,1,23,0,0.04,28,0.08,0.07,2.3,MF,0.00
197,0.0,0,0.00,0,0.00,Bournemouth,eng ENG,0,2,0.0,0.00,50,0,0.00,Jordon Ibe,0,23,0,0.00,0,0.00,0.00,0.0,DF,0.00
198,0.0,0,0.00,0,0.00,Norwich City,ie IRL,0,4,0.1,0.00,80,0,0.06,Adam Idah,0,18,0,0.00,1,0.06,0.00,0.1,"FW,MF",0.00
199,0.2,0,0.00,0,0.00,Manchester Utd,ng NGA,0,5,1.1,0.00,47,0,2.08,Odion Ighalo,0,30,0,0.00,0,2.08,0.29,1.1,FW,0.00
200,2.1,0,0.46,1,0.91,Leicester City,ng NGA,0,13,2.8,0.46,592,3,0.42,Kelechi Iheanacho,3,22,0,0.91,7,0.42,0.32,2.8,FW,0.46
201,1.9,0,0.09,3,0.78,Southampton,eng ENG,0,30,12.0,0.69,"2,086",16,0.52,Danny Ings,2,27,0,0.78,24,0.52,0.08,12.0,FW,0.69
202,2.0,0,0.00,0,0.08,Everton,ng NGA,0,18,2.1,0.08,"1,167",1,0.16,Alex Iwobi,0,23,0,0.08,13,0.16,0.15,2.1,"MF,FW",0.08
203,0.0,0,0.00,0,0.00,Sheffield Utd,eng ENG,0,4,0.0,0.00,131,0,0.00,Phil Jagielka,0,36,0,0.00,1,0.00,0.00,0.0,DF,0.00
204,0.1,0,0.00,0,0.62,Brighton,ir IRN,0,8,0.5,0.62,289,2,0.15,Alireza Jahanbakhsh,0,25,0,0.62,3,0.15,0.02,0.5,"FW,MF",0.62
205,4.0,0,0.24,4,0.36,Manchester Utd,wal WAL,0,28,3.1,0.12,"2,228",3,0.13,Daniel James,6,21,0,0.36,26,0.13,0.16,3.1,FW,0.12
206,0.0,0,0.00,0,0.00,Leicester City,eng ENG,0,1,0.0,0.00,6,0,0.00,Matty James,0,28,0,0.00,0,0.00,0.00,0.0,MF,0.00
207,1.8,0,0.17,1,0.17,Chelsea,eng ENG,0,17,0.7,0.00,"1,069",0,0.06,Reece James,2,19,0,0.17,11,0.06,0.15,0.7,DF,0.00
208,0.4,0,0.15,1,0.15,Watford,nl NED,0,8,0.3,0.00,607,0,0.04,Daryl Janmaat,1,30,0,0.15,7,0.04,0.06,0.3,DF,0.00
209,1.5,0,0.25,2,0.89,Manchester City,br BRA,1,25,12.5,0.63,"1,422",10,0.84,Gabriel Jesus,4,22,0,0.89,14,0.79,0.10,13.3,FW,0.63
210,5.2,3,0.21,3,0.60,Wolves,mx MEX,3,30,11.1,0.50,"2,543",14,0.47,Raúl Jiménez,6,28,0,0.71,29,0.39,0.18,13.3,FW,0.39
211,2.2,0,0.08,6,0.12,Newcastle Utd,br BRA,0,29,3.9,0.04,"2,223",1,0.16,Joelinton,2,22,0,0.12,27,0.16,0.09,3.9,FW,0.04
212,0.0,0,0.00,0,0.00,Liverpool,eng ENG,0,2,0.0,0.00,21,0,0.20,Curtis Jones,0,18,0,0.00,0,0.20,0.00,0.0,MF,0.00
213,0.0,0,0.00,0,0.00,Manchester Utd,eng ENG,0,2,0.2,0.00,135,0,0.15,Phil Jones,0,27,0,0.00,2,0.15,0.00,0.2,DF,0.00
214,2.2,3,0.09,10,0.13,Chelsea,it ITA,3,26,1.2,0.18,"2,011",4,0.16,Jorginho,2,27,0,0.27,23,0.05,0.10,3.5,MF,0.04
215,0.6,0,0.29,0,0.29,Aston Villa,es ESP,0,8,0.1,0.00,314,0,0.04,Jota,1,28,0,0.29,4,0.04,0.18,0.1,"FW,MF",0.00
216,2.7,0,0.05,3,0.35,Wolves,pt POR,0,26,8.5,0.30,"1,824",6,0.42,Diogo Jota,1,22,0,0.35,22,0.42,0.14,8.5,"FW,MF",0.30
217,0.5,0,0.31,0,0.31,Leicester City,eng ENG,0,5,0.0,0.00,292,0,0.00,James Justin,1,21,0,0.31,3,0.00,0.15,0.0,DF,0.00
218,0.5,0,0.11,3,0.11,Watford,be BEL,0,20,0.9,0.00,"1,665",0,0.05,Christian Kabasele,2,28,2,0.11,19,0.05,0.03,0.9,DF,0.00
219,1.8,2,0.10,2,0.53,Tottenham,eng ENG,2,21,5.4,0.53,"1,868",11,0.33,Harry Kane,2,26,0,0.63,21,0.26,0.08,6.9,FW,0.43
220,2.0,0,0.00,3,0.19,Chelsea,fr FRA,0,18,1.5,0.19,"1,385",3,0.10,N'Golo Kanté,0,28,0,0.19,16,0.10,0.13,1.5,MF,0.19
221,0.5,0,0.26,0,0.39,Everton,it ITA,0,22,3.0,0.13,687,1,0.40,Moise Kean,2,19,0,0.39,5,0.40,0.07,3.0,"FW,MF",0.13
222,0.4,0,0.00,0,0.05,Everton,eng ENG,0,22,1.4,0.05,"1,749",1,0.07,Michael Keane,0,26,0,0.05,19,0.07,0.02,1.4,DF,0.05
223,1.2,0,0.24,1,0.49,Liverpool,gn GUI,0,9,1.4,0.24,370,1,0.33,Naby Keïta,1,24,0,0.49,4,0.33,0.29,1.4,MF,0.24
224,0.9,0,0.06,0,0.06,Crystal Palace,eng ENG,0,19,0.1,0.00,"1,549",0,0.01,Martin Kelly,1,29,0,0.06,17,0.01,0.05,0.1,DF,0.00
225,0.0,0,0.00,0,0.00,Wolves,eng ENG,0,3,0.0,0.00,185,0,0.00,Max Kilman,0,22,0,0.00,2,0.00,0.00,0.0,DF,0.00
226,2.7,1,0.12,0,0.30,Bournemouth,no NOR,1,20,4.0,0.24,"1,510",4,0.29,Joshua King,2,27,0,0.36,18,0.25,0.17,4.8,"FW,MF",0.18
227,0.0,0,0.00,0,0.00,Norwich City,ch SUI,0,1,0.1,0.00,90,0,0.06,Timm Klose,0,31,0,0.00,1,0.06,0.00,0.1,DF,0.00
228,0.0,0,0.00,1,0.00,Aston Villa,ci CIV,0,6,0.1,0.00,117,0,0.04,Jonathan Kodjia,0,29,0,0.00,0,0.04,0.00,0.1,"FW,MF",0.00
229,1.0,0,0.15,3,0.15,Arsenal,ba BIH,0,18,0.7,0.00,"1,197",0,0.06,Sead Kolašinac,2,26,0,0.15,14,0.06,0.08,0.7,DF,0.00
230,0.1,0,0.14,1,0.14,Aston Villa,eng ENG,0,16,0.6,0.00,"1,274",0,0.04,Ezri Konsa,2,21,0,0.14,15,0.04,0.01,0.6,DF,0.00
231,0.9,0,0.04,2,0.09,Crystal Palace,sn SEN,0,28,1.8,0.04,"2,075",1,0.08,Cheikhou Kouyaté,1,29,0,0.09,24,0.08,0.04,1.8,MF,0.04
232,1.9,0,0.16,7,0.21,Chelsea,hr CRO,0,25,1.1,0.05,"1,685",1,0.06,Mateo Kovačić,3,25,0,0.21,18,0.06,0.10,1.1,MF,0.05
233,0.0,0,0.00,0,0.00,Newcastle Utd,se SWE,0,11,0.2,0.00,565,0,0.04,Emil Krafth,0,24,0,0.00,6,0.04,0.00,0.2,DF,0.00
234,0.0,0,0.00,4,0.00,Norwich City,nl NED,0,28,0.0,0.00,"2,520",0,0.00,Tim Krul,0,31,0,0.00,28,0.00,0.00,0.0,GK,0.00
235,2.1,0,0.19,6,0.64,Arsenal,fr FRA,0,22,5.5,0.44,"1,416",7,0.37,Alexandre Lacazette,3,28,0,0.64,16,0.37,0.14,5.5,FW,0.44
236,0.6,0,0.24,1,0.47,Liverpool,eng ENG,0,15,1.1,0.24,382,1,0.25,Adam Lallana,1,31,0,0.47,3,0.25,0.14,1.1,"MF,FW",0.24
237,1.6,0,0.09,3,0.27,Tottenham,ar ARG,0,18,2.2,0.18,"1,005",2,0.19,Érik Lamela,1,27,0,0.27,11,0.19,0.14,2.2,"MF,FW",0.18
238,0.1,0,0.00,0,0.00,Chelsea,eng ENG,0,1,0.0,0.00,32,0,0.00,Tariq Lamptey,0,18,0,0.00,0,0.00,0.38,0.0,DF,0.00
239,0.1,0,0.00,0,0.00,Aston Villa,eng ENG,0,9,0.1,0.00,194,0,0.05,Henri Lansbury,0,28,0,0.00,2,0.05,0.03,0.1,MF,0.00
240,2.3,0,0.15,0,0.15,West Ham,ar ARG,0,20,1.7,0.00,"1,212",0,0.13,Manuel Lanzini,2,26,0,0.15,12,0.13,0.17,1.7,"MF,FW",0.00
241,0.1,0,0.00,1,0.00,Manchester City,fr FRA,0,8,0.1,0.00,573,0,0.01,Aymeric Laporte,0,25,0,0.00,8,0.01,0.01,0.1,DF,0.00
242,0.1,0,0.00,2,0.06,Newcastle Utd,eng ENG,0,19,0.3,0.06,"1,630",1,0.02,Jamaal Lascelles,0,25,0,0.06,19,0.02,0.01,0.3,DF,0.06
243,0.1,0,0.00,0,0.00,Newcastle Utd,at AUT,0,4,0.0,0.00,218,0,0.00,Valentino Lazaro,0,23,1,0.00,2,0.00,0.04,0.0,DF,0.00
244,0.4,0,0.00,1,0.00,Norwich City,de GER,0,9,0.2,0.00,685,0,0.03,Moritz Leitner,0,26,0,0.00,7,0.03,0.05,0.2,MF,0.00
245,0.1,0,0.00,0,0.41,Newcastle Utd,fr FRA,0,6,0.7,0.41,442,2,0.13,Florian Lejeune,0,28,0,0.41,4,0.13,0.01,0.7,DF,0.41
246,0.1,0,0.00,4,0.00,Burnley,eng ENG,0,16,0.0,0.00,496,0,0.00,Aaron Lennon,0,32,0,0.00,4,0.00,0.02,0.0,MF,0.00
247,0.0,0,0.00,2,0.00,Arsenal,de GER,0,30,0.0,0.00,"2,649",0,0.00,Bernd Leno,0,27,0,0.00,30,0.00,0.00,0.0,GK,0.00
248,1.6,0,0.09,11,0.13,Bournemouth,co COL,0,25,0.8,0.04,"2,033",1,0.04,Jefferson Lerma,2,24,1,0.13,23,0.04,0.07,0.8,MF,0.04
249,0.5,0,0.00,2,0.06,Norwich City,nir NIR,0,20,0.3,0.06,"1,588",1,0.02,Jamal Lewis,0,21,0,0.06,17,0.02,0.03,0.3,DF,0.06
250,0.4,0,0.00,5,0.04,Manchester Utd,se SWE,0,27,0.4,0.04,"2,417",1,0.01,Victor Lindelöf,0,25,0,0.04,27,0.01,0.02,0.4,DF,0.04
251,0.8,0,0.00,3,0.00,Manchester Utd,eng ENG,0,20,1.9,0.00,892,0,0.19,Jesse Lingard,0,26,0,0.00,9,0.19,0.09,1.9,"MF,FW",0.00
252,0.0,0,0.00,0,0.00,Tottenham,fr FRA,0,13,0.0,0.00,"1,087",0,0.00,Hugo Lloris,0,32,0,0.00,13,0.00,0.00,0.0,GK,0.00
253,0.9,0,0.00,5,0.00,Tottenham,ar ARG,0,20,0.9,0.00,899,0,0.09,Giovani Lo Celso,0,23,0,0.00,7,0.09,0.09,0.9,"MF,FW",0.00
254,0.0,0,0.00,0,0.00,Brighton,nl NED,0,2,0.4,0.00,86,0,0.40,Jürgen Locadia,0,25,0,0.00,1,0.40,0.00,0.4,"MF,FW",0.00
255,0.0,0,0.00,0,0.00,Burnley,ie IRL,0,1,0.0,0.00,3,0,0.00,Kevin Long,0,28,0,0.00,0,0.00,0.00,0.0,MF,0.00
256,1.2,0,0.16,0,0.32,Southampton,ie IRL,0,19,4.5,0.16,"1,136",2,0.36,Shane Long,2,32,0,0.32,13,0.36,0.10,4.5,FW,0.16
