,squad,minutes_90s,passes_completed,through_balls,position,player,passes,passes_pressure
239,Norwich City,33.0,940,0,GK,Tim Krul,1383,215
240,Arsenal,18.6,354,4,FW,Alexandre Lacazette,453,112
241,Liverpool,4.2,229,0,"MF,FW",Adam Lallana,270,48
242,Tottenham,13.0,457,2,"MF,FW",Érik Lamela,581,141
243,Brighton,3.8,103,0,"DF,MF",Tariq Lamptey,141,19
244,Chelsea,0.4,12,1,DF,Tariq Lamptey,14,0
245,Aston Villa,2.2,60,0,MF,Henri Lansbury,81,15
246,West Ham,15.1,662,3,"MF,FW",Manuel Lanzini,784,152
247,Manchester City,10.4,888,0,DF,Aymeric Laporte,951,118
248,Newcastle Utd,23.1,669,1,DF,Jamaal Lascelles,811,144
249,Newcastle Utd,3.9,120,0,"DF,MF",Valentino Lazaro,149,24
250,Norwich City,7.6,472,2,MF,Moritz Leitner,553,96
251,Newcastle Utd,4.9,136,0,DF,Florian Lejeune,187,41
252,Burnley,5.5,92,0,MF,Aaron Lennon,131,32
253,Arsenal,29.4,742,0,GK,Bernd Leno,990,127
254,Bournemouth,27.1,1032,0,MF,Jefferson Lerma,1290,272
255,Norwich City,22.6,937,1,DF,Jamal Lewis,1183,196
256,Manchester Utd,31.4,1596,2,DF,Victor Lindelöf,1822,260
257,Manchester Utd,9.9,334,1,"MF,FW",Jesse Lingard,391,78
258,Tottenham,17.1,343,0,GK,Hugo Lloris,492,48
259,Tottenham,14.4,747,2,"MF,FW",Giovani Lo Celso,900,163
260,Brighton,1.0,9,0,"MF,FW",Jürgen Locadia,19,10
261,Chelsea,1.5,73,1,"MF,FW",Ruben Loftus-Cheek,81,7
262,Burnley,3.3,62,0,DF,Kevin Long,82,7
263,Southampton,14.7,216,0,FW,Shane Long,386,160
264,Newcastle Utd,6.3,191,0,MF,Matthew Longstaff,235,32
265,Newcastle Utd,14.8,503,1,MF,Sean Longstaff,643,114
266,Liverpool,8.6,530,1,DF,Dejan Lovren,603,64
267,Burnley,17.0,496,2,DF,Matthew Lowton,725,144
268,Arsenal,28.6,1389,5,DF,David Luiz,1603,243
269,Aston Villa,26.0,897,2,MF,Douglas Luiz,1105,165
270,Sheffield Utd,25.6,899,4,MF,John Lundstram,1112,254
271,Brighton,2.6,58,0,"MF,FW",Alexis Mac Allister,89,20
272,Leicester City,29.2,1282,16,MF,James Maddison,1674,267
273,Manchester Utd,35.0,1955,1,DF,Harry Maguire,2214,337
274,Manchester City,20.6,963,21,"FW,MF",Riyad Mahrez,1133,194
275,Arsenal,14.2,765,0,DF,Ainsley Maitland-Niles,927,152
276,Liverpool,28.3,852,10,FW,Sadio Mané,1065,222
277,Newcastle Utd,15.8,403,0,DF,Javier Manquillo,574,91
278,Brighton,10.7,388,0,"FW,DF",Solly March,524,121
279,Arsenal,1.3,81,0,DF,Pablo Marí,91,4
280,Watford,14.8,362,0,DF,Adrian Mariappa,502,69
281,Manchester Utd,26.2,516,5,FW,Anthony Martial,637,186
282,West Ham,4.8,55,0,GK,David Martin,124,14
283,Norwich City,0.3,10,0,FW,Josh Martin,13,6
284,Arsenal,7.4,86,1,FW,Martinelli,138,41
285,Arsenal,5.6,133,1,GK,Emiliano Martínez,185,19
286,Watford,18.7,538,0,DF,Adam Masina,868,158
287,West Ham,10.2,463,1,DF,Arthur Masuaku,578,139
288,Manchester Utd,8.4,442,2,"MF,FW",Juan Mata,523,116
289,Manchester Utd,15.3,920,1,MF,Nemanja Matić,1046,199
290,Liverpool,7.8,448,0,DF,Joël Matip,514,74
291,Brighton,27.9,499,3,FW,Neal Maupay,632,173
292,Crystal Palace,31.8,1029,4,MF,James McArthur,1314,343
293,Sheffield Utd,21.3,378,0,FW,Oliver McBurnie,578,239
294,Southampton,25.0,367,0,GK,Alex McCarthy,705,81
295,Crystal Palace,15.8,507,0,MF,James McCarthy,653,117
296,Aston Villa,22.7,541,3,MF,John McGinn,716,158
297,Sheffield Utd,18.7,442,4,FW,David McGoldrick,577,156
298,Norwich City,1.8,31,0,GK,Michael McGovern,51,5
299,Norwich City,30.0,1243,4,MF,Kenny McLean,1584,358
300,Burnley,34.1,767,3,MF,Dwight McNeil,1131,282
301,Manchester Utd,18.9,770,2,MF,Scott McTominay,946,153
302,Burnley,32.0,875,0,DF,Ben Mee,1172,225
303,Manchester City,15.7,1074,0,DF,Benjamin Mendy,1244,155
304,Leicester City,3.0,171,0,MF,Nampalys Mendy,186,28
305,Bournemouth,10.1,414,0,DF,Chris Mepham,483,86
306,Crystal Palace,7.3,160,1,"MF,FW",Max Meyer,213,52
307,Crystal Palace,26.9,1110,1,MF,Luka Milivojević,1448,235
308,Liverpool,9.1,562,4,"MF,DF",James Milner,662,103
309,Everton,25.4,1070,0,DF,Yerry Mina,1251,212
310,Liverpool,1.7,60,0,"FW,MF",Takumi Minamino,68,20
311,Aston Villa,29.2,981,2,DF,Tyrone Mings,1229,188
312,Crystal Palace,0.1,8,0,DF,Tyrick Mitchell,10,0
313,Arsenal,1.2,58,2,FW,Henrikh Mkhitaryan,77,13
314,Arsenal,3.0,182,0,DF,Nacho Monreal,201,41
315,Brighton,20.8,1001,0,DF,Martín Montoya,1244,212
316,Sheffield Utd,2.0,19,0,GK,Simon Moore,48,1
317,Brighton,22.0,780,4,"MF,FW",Aaron Mooy,1025,221
318,Aston Villa,19.8,277,0,FW,Wesley Moraes,377,115
319,Leicester City,1.8,71,0,DF,Wes Morgan,81,12
320,Sheffield Utd,0.1,4,0,MF,Ravel Morrison,6,2
321,Chelsea,30.3,1064,3,"MF,FW",Mason Mount,1317,249
322,Tottenham,22.5,530,4,"FW,MF",Lucas Moura,727,203
323,Sheffield Utd,13.3,174,1,FW,Lys Mousset,235,70
324,Wolves,32.2,1496,6,MF,João Moutinho,1874,323
325,Brighton,8.0,109,1,FW,Glenn Murray,165,49
326,Arsenal,13.4,663,0,DF,Shkodran Mustafi,790,109
327,Newcastle Utd,2.4,26,0,"FW,MF",Yoshinori Mutō,31,11
328,Tottenham,0.0,0,0,FW,Georges-Kévin N'Koudou,0,0
329,Aston Villa,20.0,662,0,MF,Marvelous Nakamba,784,172
330,Leicester City,26.9,1291,1,MF,Wilfred Ndidi,1506,294
331,Tottenham,11.2,532,0,MF,Tanguy Ndombele,629,137
332,Arsenal,6.2,173,1,FW,Reiss Nelson,215,46
333,Wolves,9.7,286,0,"FW,MF",Pedro Neto,375,89
334,Wolves,31.3,1455,5,MF,Rúben Neves,1808,290
335,West Ham,4.9,89,0,DF,Jeremy Ngakia,161,40
336,Everton,0.2,3,0,FW,Oumar Niasse,5,2
337,Arsenal,5.7,80,0,FW,Eddie Nketiah,104,17
338,West Ham,26.8,1071,5,MF,Mark Noble,1325,240
339,Sheffield Utd,32.5,1576,2,MF,Oliver Norwood,2035,342
340,Aston Villa,6.0,105,0,GK,Ørjan Nyland,182,12
341,Sheffield Utd,30.4,1060,2,DF,Jack O'Connell,1435,240
342,Southampton,6.9,107,1,FW,Michael Obafemi,134,47
