,squad,minutes_90s,passes_completed,through_balls,position,player,passes,passes_pressure
436,Bournemouth,6.1,186,1,MF,Junior Stanislas,254,50
437,Aston Villa,0.1,1,0,GK,Jed Steer,2,0
438,Brighton,25.1,1314,4,MF,Dale Stephens,1512,282
439,Southampton,25.2,790,3,DF,Jack Stephens,1063,175
440,Manchester City,27.3,904,4,FW,Raheem Sterling,1123,271
441,Sheffield Utd,34.2,1291,1,DF,Enda Stevens,1751,340
442,Norwich City,12.1,274,3,MF,Marco Stiepermann,375,110
443,Manchester City,11.3,852,0,DF,John Stones,897,125
444,Watford,0.8,14,0,"FW,MF",Isaac Success,21,12
445,Newcastle Utd,1.5,59,0,MF,Ki Sung-yueng,67,13
446,Bournemouth,2.6,102,0,MF,Andrew Surman,127,20
447,Bournemouth,0.2,3,0,FW,Sam Surridge,5,2
448,Tottenham,5.8,188,0,DF,Japhet Tanganga,232,38
449,Aston Villa,22.5,813,0,DF,Matt Targett,1108,206
450,Burnley,35.0,822,0,DF,James Tarkowski,1136,230
451,Burnley,21.3,715,2,DF,Charlie Taylor,1019,156
452,Aston Villa,12.1,410,0,DF,Neil Taylor,513,94
453,Southampton,0.0,0,0,FW,Nathan Tella,1,1
454,Norwich City,24.1,1041,1,"MF,DF",Alexander Tettey,1175,263
455,Burnley,0.0,0,0,FW,Max Thompson,0,0
456,Leicester City,28.9,1332,8,MF,Youri Tielemans,1636,355
457,Arsenal,8.6,355,1,DF,Kieran Tierney,453,65
458,Crystal Palace,17.6,505,0,DF,James Tomkins,626,106
459,Chelsea,14.3,981,1,DF,Fikayo Tomori,1098,130
460,Arsenal,15.5,729,1,MF,Lucas Torreira,836,175
461,Crystal Palace,2.0,29,1,FW,Cenk Tosun,47,19
462,Everton,3.2,42,0,FW,Cenk Tosun,62,19
463,Crystal Palace,11.4,251,1,MF,Andros Townsend,360,96
464,Wolves,26.6,552,3,"FW,MF",Adama Traoré,852,242
465,Bournemouth,1.0,23,0,GK,Mark Travers,32,4
466,Aston Villa,19.0,276,1,"FW,MF",Trézéguet,411,84
467,Brighton,20.5,538,2,"FW,MF",Leandro Trossard,752,160
468,Norwich City,12.6,551,0,MF,Tom Trybull,597,128
469,Manchester Utd,2.1,127,0,DF,Axel Tuanzebe,141,16
470,Southampton,8.7,198,0,DF,Yan Valery,318,65
471,Wolves,1.8,81,0,DF,Jesús Vallejo,104,13
472,Leicester City,30.7,280,2,FW,Jamie Vardy,414,89
473,Aston Villa,0.6,8,0,"FW,MF",Indiana Vassilev,11,5
474,Tottenham,18.3,928,0,DF,Jan Vertonghen,1109,166
475,Southampton,13.6,465,1,DF,Jannik Vestergaard,579,95
476,Wolves,6.0,222,0,DF,Rúben Vinagre,297,59
477,Norwich City,6.9,332,2,MF,Mario Vrančić,423,94
478,Burnley,8.4,88,0,FW,Matěj Vydra,122,43
479,Everton,12.4,221,3,"MF,FW",Theo Walcott,344,57
480,Manchester City,24.4,1707,2,DF,Kyle Walker,1945,238
481,Southampton,5.3,196,0,DF,Kyle Walker-Peters,266,34
482,Tottenham,2.7,183,0,DF,Kyle Walker-Peters,214,32
483,Manchester Utd,31.6,1540,0,DF,Aaron Wan-Bissaka,1910,275
484,Tottenham,0.3,18,0,MF,Victor Wanyama,19,2
485,Crystal Palace,23.5,812,0,DF,Joel Ward,1091,188
486,Southampton,35.0,1271,5,"MF,DF",James Ward-Prowse,1739,259
487,Brighton,26.6,1435,1,DF,Adam Webster,1683,285
488,Watford,6.9,99,0,"FW,MF",Danny Welbeck,128,36
489,Burnley,32.0,1210,7,MF,Ashley Westwood,1636,271
490,Crystal Palace,1.1,29,0,"FW,MF",Connor Wickham,44,17
491,Liverpool,30.0,1322,4,MF,Georginio Wijnaldum,1463,260
492,Newcastle Utd,16.6,408,0,DF,Jetro Willems,582,98
493,Manchester Utd,9.2,400,1,DF,Brandon Williams,489,70
494,Liverpool,1.6,114,1,DF,Neco Williams,140,10
495,Chelsea,27.2,1165,4,FW,Willian,1494,329
496,Arsenal,8.4,279,0,"MF,FW",Joe Willock,339,66
497,West Ham,2.4,61,0,MF,Jack Wilshere,73,15
498,Bournemouth,30.1,313,5,FW,Callum Wilson,481,145
499,Bournemouth,17.6,437,6,"MF,FW",Harry Wilson,583,128
500,Tottenham,21.7,1316,4,MF,Harry Winks,1487,218
501,Burnley,24.2,282,0,FW,Chris Wood,434,151
502,Arsenal,26.2,1532,3,MF,Granit Xhaka,1742,351
503,West Ham,10.4,318,1,"MF,FW",Andriy Yarmolenko,398,87
504,Newcastle Utd,9.8,214,0,DF,DeAndre Yedlin,296,46
505,Southampton,6.2,207,0,DF,Maya Yoshida,247,32
506,Manchester Utd,10.6,565,1,DF,Ashley Young,735,114
507,West Ham,6.6,247,0,DF,Pablo Zabaleta,326,32
508,Crystal Palace,33.4,879,2,"MF,FW",Wilfried Zaha,1121,292
509,Norwich City,14.4,479,0,DF,Christoph Zimmermann,585,124
510,Manchester City,13.7,1163,2,DF,Oleksandr Zinchenko,1307,149
511,Sheffield Utd,0.7,13,0,FW,Richairo Živković,15,4
512,Chelsea,23.0,1537,0,DF,Kurt Zouma,1734,200
